Festivals,Start_Date,End_Date
15 Minutes of Fame Indie Film Festival,29 February 2020,29 February 2020
24fps International Short Film Festival,6 November 2020,7 November 2020
5Point Adventure Film Festival,14 October 2020,18 October 2020
Action On Film Festival (In-Person),2 September 2020,6 September 2020
Action On Film Festival (Online),28 August 2020,1 September 2020
Adirondack Film Festival,15 October 2020,18 October 2020
Adventure Film Festival,26 March 2020,28 March 2020
AFI Docs,17 June 2020,21 June 2020
AFI Fest,15 October 2020,22 October 2020
African Film Festival,1 June 2020,6 June 2020
All American High School Film Festival,1 October 2020,11 October 2020
"All Genders, Lifestyles, and Identities Film Festival ",6 August 2020,16 August 2020
American Black Film Festival,21 October 2020,25 October 2020
American Conservation Film Festival,24 March 2020,28 March 2020
American Documentary and Animation Film Festival,25 September 2020,29 September 2020
American Horror Film Festival,11 January 2020,11 January 2020
American Indian Film Festival,3 November 2020,7 November 2020
Anchorage International Film Festival,4 December 2020,13 December 2020
Anim8 Student Film Festival,19 October 2020,19 October 2020
Animated Arizona Film Festival,18 January 2020,18 January 2020
Animation Nights New York ,20 November 2020,22 November 2020
Another Hole in the Head Film Festival,29 November 2020,13 December 2020
Apocalypse Later International Fantastic Film Festival,9 October 2020,11 October 2020
Arab Film Festival @ Arab National Museum,5 June 2020,14 June 2020
Archaeology Channel International Film Festival,13 May 2020,17 May 2020
Arizona International Film Festival,1 October 2020,12 October 2020
Arkansas Shorts,4 January 2020,4 January 2020
Arlington International Film Festival,5 November 2020,8 November 2020
Art of Brooklyn Film Festival,1 June 2020,10 June 2020
Artemis Women in Action Film Festival ,22 April 2020,25 April 2020
Artists Forum Festival of the Moving Image,15 October 2020,17 October 2020
ASIFA-South Animation Conference and Festival,6 June 2020,7 June 2020
Aspen Filmfest,15 October 2020,21 October 2020
Athena Film Festival ,27 February 2020,1 March 2020
Athens International Film + Video Festival ,12 October 2020,18 October 2020
Atlanta Comedy Film Festival,6 December 2020,6 December 2020
Atlanta DocuFest,5 November 2020,7 November 2020
Atlanta Horror Film Fest,15 October 2020,17 October 2020
Atlanta Jewish Film Festival,5 February 2020,25 February 2020
Atlanta Shortsfest,27 August 2020,29 August 2020
Atlanta Underground Film Festival,3 September 2020,5 September 2020
Austin Asian American Film Festival,11 June 2020,17 June 2020
Austin Comedy Short Film Festival,13 September 2020,13 September 2020
Austin Film Festival ,22 October 2020,29 October 2020
Awareness Festival,1 October 2020,11 October 2020
Balticon Short Film Festival,22 May 2020,24 May 2020
Baltimore International Black Film Festival,7 October 2020,12 October 2020
Baton Rouge Jewish Film Festival,15 January 2020,20 January 2020
Bay Area International Childrens Film Festival,15 February 2020,16 February 2020
Beaufort International Film Festival,18 February 2020,23 February 2020
Bellingham Human Rights Film Festival,20 February 2020,29 February 2020
Beloit International Film Festival,21 February 2020,1 March 2020
BendFilm Festival,8 October 2020,25 October 2020
Bentonville Film Festival,5 August 2020,8 August 2020
Berkshire International Film Festival,10 September 2020,13 September 2020
Best Actors Film Festival,16 October 2020,17 October 2020
Big Apple Film Festival,11 November 2020,15 November 2020
Big Easy International Film Festival,17 April 2020,19 April 2020
Big Muddy Film Festival,24 February 2020,1 March 2020
Big Sky Documentary Film Festival,14 February 2020,23 February 2020
Big Water Film Festival,4 November 2020,7 November 2020
Bill Johnson Black Film Festival,21 February 2020,22 February 2020
Billy The Kid Film Festival,6 November 2020,7 November 2020
Black Cat Picture Show,20 August 2020,27 August 2020
Black Hills Film Festival,20 February 2020,25 February 2020
Blackbird Film Festival,1 October 2020,4 October 2020
BlackStar Film Festival,20 August 2020,26 August 2020
Bleedingham Film Festival,24 October 2020,25 October 2020
Blow-Up Arthouse Film Festival,8 November 2020,9 November 2020
Blue Whiskey Independent Film Festival,10 September 2020,16 September 2020
Bonita Springs International Film Festival,27 February 2020,1 March 2020
Boomtown Film & Music Festival,30 April 2020,2 May 2020
Borrego Springs Film Festival,16 January 2020,20 January 2020
Bosnian-Herzegovinian Film Festival,28 October 2020,31 October 2020
Boston International Kids Film Festival,21 November 2020,22 November 2020
Boston Latino International Film Festival,23 September 2020,27 September 2020
Boston Palestine Film Festival,16 October 2020,25 October 2020
Boston Sci-Fi Film Festival,7 February 2020,17 February 2020
Boulder International Film Festival,5 March 2020,8 March 2020
Brainwash Movie Festival,17 July 2020,25 July 2020
Breckenridge Film Festival,17 September 2020,4 October 2020
Brightside Film Festival ,29 February 2020,1 March 2020
BronzeLens Film Festival,11 August 2020,16 August 2020
Brooklyn Film Festival,29 May 2020,7 June 2020
Brooklyn Horror Fest,8 October 2020,11 October 2020
Buffalo Dreams Fantastic Film Festival,28 August 2020,3 September 2020
Buffalo International Film Festival,8 October 2020,12 October 2020
Burbank International Film Festival,9 September 2020,13 September 2020
Buried Alive Film Festival,12 November 2020,14 November 2020
Bushwick Film Festival,21 October 2020,25 October 2020
